Year,Tamil_Nadu,Tamil_Nadu,Gujarat,Gujarat,Tripura,Tripura,Jammu_and_Kashmir,Jammu_and_Kashmir,Jharkhand,Jharkhand,India,India,Nagaland,Nagaland,West_Bengal,West_Bengal,Uttarakhand,Uttarakhand,Andhra_Pradesh,Andhra_Pradesh,Karnataka,Karnataka,Assam,Assam,Kerala,Kerala,Puducherry,Puducherry,Andaman_and_Nicobar_Islands,Andaman_and_Nicobar_Islands,Meghalaya,Meghalaya,Rajasthan,Rajasthan,Arunachal_Pradesh,Arunachal_Pradesh,Goa,Goa,Punjab,Punjab,Delhi,Delhi,Maharashtra,Maharashtra,Bihar,Bihar,Manipur,Manipur,Sikkim,Sikkim,Uttar_Pradesh,Uttar_Pradesh,Mizoram,Mizoram,Himachal_Pradesh,Himachal_Pradesh,Lakshadweep,Lakshadweep,Daman_and_Diu,Daman_and_Diu,Haryana,Haryana,Dadra_and_Nagar_Haveli,Dadra_and_Nagar_Haveli,Madhya_Pradesh,Madhya_Pradesh,Chattisgarh,Chattisgarh,Chandigarh,Chandigarh,Odisha,Odisha
Year,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value,Area,Value
1953,0,0,0,0,0,0,0,0,0.93,29,0.93,42.08,0,0,0,0.05,0,10.82,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.93,29,0,0,0,0,0,10.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.07,0,0,0,0
1954,0,0,0,0.013,0,0.028,0,0.27,1.59,15,2.61,40.52,0,0,0,7.6,0.74,6.82,0,0,0,0,0.27,10.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.17,0,0,0,0,1.59,15,0,0,0,0,0.74,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0.057,0,0,1.01,20.3,5.31,77.8,0,0,0,0.5,2.57,26.38,0.19,1.26,0,0,0.09,2.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,15.98,0,0.15,0,0,1.01,20.3,0,0,0,0,2.57,26.38,0,0,0,0,0,0,0,0,0.12,2.8,0,0,0,3,0,3,0,0,0.41,7.88
1956,0,0.01,0,0.287,0,0.13,0,0,0.4,5.22,1.11,44.44,0,0,0.4,7.42,0,21.48,0.05,0.27,0,0,0.08,3.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.8,0.01,0.04,0,0.208,0.4,5.22,0,0,0,0,0,21.48,0,0,0,0.01,0,0,0,0,0.02,3.319,0,0,0,0,0,0,0,0,0.09,2.15
1957,0,0,0,0.68,0,0,0,0,0.3,0,0.45,14.12,0,0,0,0.007,0,10.67,0.01,0,0,0.017,0.02,1.007,0.01,0.113,0,0,0,0,0,0,0,0,0,0,0,0,0.08,1.61,0,0.021,0,0,0.3,0,0,0,0,0,0,10.67,0,0,0.01,0.078,0,0,0,0,0,0,0,0,0.02,0,0.02,0,0,0,0,0
1958,0,0,0,0.026,0.01,0.175,0,0.16,0.29,3.198,1.4,38.28,0,0,0.13,5.55,0,0,0.08,1.121,0,0,0.07,1.705,0,0.015,0,0,0,0,0,0,0.03,0.81,0,0,0,0,0.43,18.1,0.01,0.015,0.11,0,0.29,3.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,7.3,0,0,0,0,0,0,0,0,0.02,0.1
1959,0.01,0,0,1.514,0,0,0.08,0,0.15,0,1.54,56.76,0,0,0.61,44,0,0,0.07,0,0,0.06,0.19,6.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,1.75,0,0,0.12,0,0.15,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.64,0,0,0.01,0.072,0.01,0.072,0,0,0.2,3.24
1960,0,0,0.01,0.005,0,0,0,0,0.17,0,2.27,42.55,0,0,0.02,0,0.59,0,0,0,0,0,0.22,7.629,0,0,0,0,0,0,0,0,0.02,1.06,0,0,0,0,0.37,9.94,0.01,0,0,0,0.17,0,0,0,0,0,0.59,0,0,0,0,0.25,0,0,0,0,0.28,3.669,0,0,0,0,0,0,0,0,0.59,20
1961,0.01,0.447,0.26,0.686,0,0,0,0,0.45,13.25,1.97,24.04,0,0,0.01,0,0.22,0,0.01,0.121,0.01,0,0.02,0.431,0.05,0.301,0,0,0,0,0,0,0.03,0,0,0,0,0,0.2,4.72,0.01,1.029,0.01,0.087,0.45,13.25,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0.17,2.96,0,0,0.01,0,0.01,0,0,0,0.51,0
1962,0,0,0.02,0.115,0,0.018,0,0,0.67,9.57,3.39,83.18,0,0,0.02,6.17,1.06,19.351,0.1,0,0.01,0.098,0.38,19.205,0.02,0.227,0,0,0,0,0,0,0,0.103,0,0,0,0,0.97,24.32,0,0.067,0.03,0.341,0.67,9.57,0.01,0.027,0,0,1.06,19.351,0,0,0,0,0,0,0,0,0.1,3.53,0,0,0,0.032,0,0.032,0,0,0,0.012
1963,0.01,0.297,0.06,0.388,0.01,0.324,0,0,0,0.758,2.05,30.17,0,0,0.03,0.15,1.2,18.306,0.18,0.094,0,0,0.08,1.974,0,0,0,0,0,0,0,0,0,0.48,0,0,0,0,0.02,0.48,0.01,0.636,0.16,1.32,0,0.758,0,0.006,0,0,1.2,18.306,0,0,0,0,0,0,0,0,0.2,3.95,0,0,0,0,0,0,0,0,0.09,1
1964,0.01,0.1,0.02,0.085,0.03,0.05,0,0,0.53,11.088,2.49,56.87,0,0,0.02,0.73,0.77,11.208,0.11,1,0,0,0.15,2.381,0.01,0.078,0,0,0,0,0,0,0.02,0.52,0,0,0,0,0.33,15.1,0.02,1.25,0.01,0.046,0.53,11.088,0.01,0.082,0,0,0.77,11.208,0,0,0,0,0,0,0,0,0.29,11.13,0,0,0,0.005,0,0.005,0,0,0.16,2.02
1965,0.01,0,0,0.005,0,0.045,0,0,0.11,1.804,0.27,5.87,0,0,0.06,2.85,0,0.11,0,0,0.01,0,0.02,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.11,1.804,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0.02,0.39,0,0,0.05,0,0.05,0,0,0,0.03,0
1966,0,0,0,0,0.01,0.52,0.02,0,1.12,39,2.16,80.15,0,0,0.03,1.59,0.28,6.909,0.04,1.05,0,0,0.4,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,8.27,0,0.2,0,0,1.12,39,0,0,0,0,0.28,6.909,0,0,0,0,0,0,0,0,0.07,0.91,0,0,0,0,0,0,0,0,0.01,0
1967,0,0,0,0.03,0,0.01,0,0,0.73,19.34,3.27,133.31,0,0,0.42,19.62,1.52,55.55,0,0,0,0,0.07,2.38,0,0,0,0,0,0,0,0,0.05,5.87,0,0,0,0,0.04,2.67,0.01,1.17,0,0,0.73,19.34,0,0,0,0,1.52,55.55,0,0,0,0,0,0,0,0,0.15,17.49,0,0,0.01,0.43,0.01,0.43,0,0,0.27,8.75
1968,0,0,0.17,6.754,0.02,0.97,0,0,0.19,10.14,2.62,144.61,0,0,0.95,53.56,0.4,8.31,0.07,24.089,0,0.37,0.13,8.032,0.11,7,0,0,0,0,0,0,0,0,0,0,0,0,0.06,6.17,0,0.02,0.02,1.3,0.19,10.14,0,0,0,0,0.4,8.31,0,0,0,0.007,0,0,0,0,0.13,9.31,0,0,0,0,0,0,0,0,0.37,8.58
1969,0,0,0.04,1.189,0.01,0.325,0,0,0.51,28.8,2.91,281.9,0,0,0.17,78.02,1.31,34.601,0,109,0.01,0.198,0.1,5.509,0.04,0.409,0,0,0,0,0,0,0.24,3.87,0,0,0,0,0.02,1.05,0,0,0.09,4.484,0.51,28.8,0.01,0,0,0,1.31,34.601,0,0,0,0.134,0,0,0,0,0.07,3.27,0,0,0.01,0.006,0.01,0.006,0,0,0.28,11.02
1970,0,0.054,1.08,16.95,0,0.01,0,0,0.38,14.74,4.91,162.78,0,0,0.9,60.89,1.7,43,0.13,1.36,0.02,1.04,0.2,8.603,0.01,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.31,0,0,0.14,3.122,0.38,14.74,0,0.09,0,0,1.7,43,0,0,0,0,0,0,0,0,0,0.009,0,0,0.02,0,0.02,0,0,0,0.32,12.25
1971,0,0,0.01,0.592,0,0.02,0,0,1.55,143.912,6.24,423.13,0,0,1.08,123.93,2.65,108.12,0,0,0,0.03,0.11,4.721,0.04,1.408,0,0,0,0,0,0,0,0,0,0,0,0,0.06,4.62,0,0.12,0,0.022,1.55,143.912,0,0.013,0,0,2.65,108.12,0,0,0.13,10.495,0,0,0,0,0.13,5.24,0,0,0.01,0.313,0.01,0.313,0,0,0.47,19.57
1972,0.12,7.332,0.02,0.5,0,0,0,0,0.02,1.62,2.45,98.56,0,0,0.14,10.09,0.18,2.842,0.2,15.75,0.01,1.554,0.38,23.248,0.05,1.263,0,0,0,0,0,0,0.11,2.63,0,0,0,0,0.01,0.53,0,0.037,0,0.084,0.02,1.62,0,0,0,0,0.18,2.842,0,0,0,0,0,0,0,0,0.01,0.3,0,0,0,0,0,0,0,0,1.2,30.78
1973,0.33,7.301,1.05,86.589,0.03,11.592,0.02,3.78,0.35,19.706,3.73,428.03,0,0.031,0.42,34.93,1.5,67.45,0,0,0,0.143,0.29,15.68,0.01,0.55,0,0,0,0,0.03,0.353,0.83,75,0,0,0,0,0.08,7.1,0,0.016,0.02,0.714,0.35,19.706,0,0.092,0,0,1.5,67.45,0,0,0,0.17,0,0,0,0,0.01,0.02,0,0,0,58.828,0,58.828,0,0,0.72,37.98
1974,0,0,0.01,0.38,0,0,0,0,1.75,294.95,3.33,411.64,0,0,0.21,26.26,0.9,57.517,0,0,0,0.31,0.26,17.767,0.04,12.575,0,0,0,0.007,0.01,0.394,0.01,0.012,0,0,0,0.007,0,0,0,0.15,0,0.138,1.75,294.95,0,0.66,0,0,0.9,57.517,0,0.007,0,0,0,0,0,0,0,0,0,0,0.01,0.488,0.01,0.488,0,0,0.12,0.015
1975,0,0,0.6,62.662,0.01,0.453,0,0,1.1,136.553,3.85,271.49,0,0,0.04,3.94,1.38,30.78,0,0.156,0,0.168,0.01,0.32,0.01,0.342,0,0.008,0,0,0,0,0.07,3.514,0,0,0,0,0.05,4.03,0,0.3,0.04,1.374,1.1,136.553,0,0,0,0,1.38,30.78,0,0,0,0,0,0,0,0,0.04,3.62,0,0,0,0.06,0,0.06,0,0,0.42,23.21
1976,0.33,0.118,0.63,22.161,0.02,3.005,0.03,0,0.85,94.639,6.04,595.03,0,0,0.16,16.9,2.16,186,0.89,186.727,0,0.041,0.11,8.652,0.004,0.2,0,0,0,0,0,0.027,0.09,2.57,0,0,0,0.14,0.22,36.4,0,0,0.04,1.873,0.85,94.639,0.02,5.3,0,0,2.16,186,0,0.14,0,0,0,0,0,0,0.37,29.71,0,0.02,0,0.48,0,0.48,0,0,0,0.05
1977,0.01,47.14,0.94,23.686,0.02,0.92,0,0,0.23,11.788,6.84,720.61,0,0,0.35,39.47,0.61,75,0,352.264,0,0.036,0.45,26.537,0.09,6.44,0.01,1.25,0,0,0,0,3.09,58.75,0,0.035,0,0,0.01,0.69,0.01,3.55,0,0.036,0.23,11.788,0,0,0,0,0.61,75,0,0,0.03,9.487,0,0,0,0,0.8,56,0,0,0,0,0,0,0,0,0.19,7.51
1978,0,0,0.26,6.091,0.01,0.611,0,0.042,0.97,94.603,9.96,911.09,0,0,1.14,207.35,3.93,382,0.49,54.028,0,0.255,0.08,3.925,0.11,23.358,0,0.32,0,0,0,0,1.78,21.75,0,0,0,0,0.11,22.05,0.04,9.324,0.09,3.488,0.97,94.603,0,0,0,0.249,3.93,382,0,0,0.09,24,0,0.088,0,0,0.48,42.98,0,0,0.09,3.404,0.09,3.404,0,0,0.33,11.17
1979,0.04,4.842,0.48,16.55,0,0,0,0,0.27,19.015,2.17,169.97,0,0,0,0,5.2,51.769,0.07,21.644,0,0.15,0.24,26.142,0.1,0.217,0,0,0,0,0,0,0.18,23.63,0,0,0,0,0,0.44,0,0,0.09,5.044,0.27,19.015,0,0,0,0,5.2,51.769,0,0,0,0.005,0,0,0,0,0,0.006,0,0,0,0.022,0,0.022,0,0,0.18,0.5
1980,0.024,0.018,0.28,22.02,0,0,0,0.005,1,0,5.55,366.37,0,0,0.21,33.38,3.09,190.118,0.03,9.221,0.02,1.088,0.29,32.366,0.06,9.427,0,0,0,0,0,0,0,0,0,0,0,0,0.05,4.32,0,0.12,0,0.208,1,0,0.05,3.12,0,0,3.09,190.118,0,0,0,0.089,0,0,0,0,0.12,20.41,0,0,0,0,0,0,0,0,0.36,40.48
1981,0,0,0.23,8.432,0,0,0,0,0.77,72.132,3.27,524.56,0,0,0.09,28.75,1.64,365,0,0,0.05,1.034,0.07,7.011,0.09,15.113,0.009,0,0,0,0,0,0.25,24.8,0,0,0,0,0.02,1.63,0,0.022,0.01,0.345,0.77,72.132,0,0,0,0,1.64,365,0,0,0,0.004,0,0,0,0,0.01,0.24,0,0,0,0,0,0,0,0,0.04,0.06
1982,0,0.029,0,105.283,0.04,3.219,0,0,0.32,97.004,5,589.4,0,0,0.03,4.66,3.3,330.87,0.04,2.28,0.06,2.36,0.1,8.9,0,0.6,0,0,0,0,0,0,0.05,4.4,0,0,0,0,0,0,0,0,0,1.896,0.32,97.004,0.02,2.666,0,0,3.3,330.87,0,0,0,0,0,0,0,0,0,0,0,0,0,25.23,0,25.23,0,0,1.2,0
1983,0.22,102.544,0.22,37.516,0.05,15.431,0,0.229,0.37,23.434,3.29,1285.85,0,0,0.06,9.56,2.5,624.69,0.714,312.9,0.05,2.635,0.14,14.743,0,0.707,0,0,0,0,0,0.48,0.02,2.72,0,0.33,0,0,0.04,7.35,0.02,0.352,0,53.751,0.37,23.434,0,0.023,0.02,6.473,2.5,624.69,0,0,0.12,27.307,0,0,0,0,0.23,32.28,0,0,0.07,7.112,0.07,7.112,0,0,0.09,3.26
